,gameId,date,time,hId,hScore,vId,vScore
385,0022100320,20211201,7:00 PM ET,1610612753,108,1610612743,103
386,0022100321,20211201,7:00 PM ET,1610612764,115,1610612750,107
387,0022100322,20211201,7:30 PM ET,1610612738,88,1610612755,87
388,0022100323,20211201,7:30 PM ET,1610612748,85,1610612739,111
389,0022100324,20211201,8:00 PM ET,1610612749,127,1610612766,125
390,0022100325,20211201,8:00 PM ET,1610612740,107,1610612742,139
391,0022100326,20211201,8:00 PM ET,1610612760,110,1610612745,114
392,0022100327,20211201,10:30 PM ET,1610612746,115,1610612758,124
393,0022100328,20211202,7:30 PM ET,1610612752,115,1610612741,119
394,0022100329,20211202,7:30 PM ET,1610612761,97,1610612749,93
395,0022100330,20211202,8:00 PM ET,1610612763,152,1610612760,79
396,0022100331,20211202,9:00 PM ET,1610612756,114,1610612765,103
397,0022100332,20211202,10:00 PM ET,1610612757,83,1610612759,114
398,0022100333,20211203,7:00 PM ET,1610612754,104,1610612748,113
399,0022100334,20211203,7:00 PM ET,1610612764,101,1610612739,116
400,0022100335,20211203,7:30 PM ET,1610612737,96,1610612755,98
401,0022100336,20211203,7:30 PM ET,1610612751,110,1610612750,105
402,0022100337,20211203,8:00 PM ET,1610612745,118,1610612753,116
403,0022100338,20211203,8:30 PM ET,1610612742,91,1610612740,107
404,0022100339,20211203,9:00 PM ET,1610612762,137,1610612738,130
405,0022100340,20211203,10:00 PM ET,1610612744,118,1610612756,96
406,0022100341,20211203,10:00 PM ET,1610612747,115,1610612746,119
407,0022100342,20211204,1:00 PM ET,1610612752,99,1610612743,113
